DATE,PRICE
1970-01-01,0.0032
1970-02-01,0.0031
1970-03-01,0.0035
1970-04-01,0.0037
1970-05-01,0.004
1970-06-01,0.0039
1970-07-01,0.0036
1970-08-01,0.0037
1970-09-01,0.0031
1970-10-01,0.003
1970-11-01,0.0033
1970-12-01,0.0035
1971-01-01,0.0037
1971-02-01,0.0039
1971-03-01,0.004
1971-04-01,0.0034
1971-05-01,0.0051
1971-06-01,0.0054
1971-07-01,0.0039
1971-08-01,0.0034
1971-09-01,0.003
1971-10-01,0.003
1971-11-01,0.0034
1971-12-01,0.0042
1972-01-01,0.0038
1972-02-01,0.0044
1972-03-01,0.0045
1972-04-01,0.0051
1972-05-01,0.0061
1972-06-01,0.0065
1972-07-01,0.0041
1972-08-01,0.0035
1972-09-01,0.0031
1972-10-01,0.0035
1972-11-01,0.0041
1972-12-01,0.0044
1973-01-01,0.0045
1973-02-01,0.0053
1973-03-01,0.0057
1973-04-01,0.006
1973-05-01,0.0067
1973-06-01,0.0067
1973-07-01,0.0055
1973-08-01,0.0047
1973-09-01,0.0043
1973-10-01,0.0042
1973-11-01,0.0054
1973-12-01,0.0063
1974-01-01,0.0068
1974-02-01,0.006999999999999999
1974-03-01,0.0075
1974-04-01,0.0077
1974-05-01,0.0081
1974-06-01,0.009000000000000001
1974-07-01,0.006999999999999999
1974-08-01,0.0057
1974-09-01,0.0053
1974-10-01,0.0056
1974-11-01,0.0066
1974-12-01,0.0073
1975-01-01,0.0083
1975-02-01,0.0088
1975-03-01,0.009000000000000001
1975-04-01,0.0089
1975-05-01,0.0106
1975-06-01,0.0099
1975-07-01,0.0093
1975-08-01,0.0071
1975-09-01,0.0073
1975-10-01,0.0157
1975-11-01,0.0089
1975-12-01,0.0105
1976-01-01,0.0123
1976-02-01,0.0106
1976-03-01,0.0122
1976-04-01,0.0138
1976-05-01,0.0136
1976-06-01,0.0164
1976-07-01,0.0168
1976-08-01,0.0144
1976-09-01,0.0139
1976-10-01,0.0116
1976-11-01,0.0118
1976-12-01,0.0182
1977-01-01,0.027999999999999997
1977-02-01,0.02
1977-03-01,0.0165
1977-04-01,0.0295
1977-05-01,0.0291
1977-06-01,0.0443
1977-07-01,0.044000000000000004
1977-08-01,0.0303
1977-09-01,0.0245
1977-10-01,0.0238
1977-11-01,0.0311
1977-12-01,0.0282
1978-01-01,0.0388
1978-02-01,0.0416
1978-03-01,0.0414
1978-04-01,0.0502
1978-05-01,0.059000000000000004
1978-06-01,0.0688
1978-07-01,0.0565
1978-08-01,0.0418
1978-09-01,0.0351
1978-10-01,0.0348
1978-11-01,0.046
1978-12-01,0.0518
1979-01-01,0.032
1979-02-01,0.0541
1979-03-01,0.0727
1979-04-01,0.0653
1979-05-01,0.083
1979-06-01,0.0773
1979-07-01,0.0576
1979-08-01,0.0481
1979-09-01,0.0407
1979-10-01,0.0516
1979-11-01,0.0559
1979-12-01,0.0636
1980-01-01,0.0693
1980-02-01,0.0689
1980-03-01,0.078
1980-04-01,0.0894
1980-05-01,0.0875
1980-06-01,0.1145
1980-07-01,0.1035
1980-08-01,0.1155
1980-09-01,0.1139
1980-10-01,0.099
1980-11-01,0.1011
1980-12-01,0.10800000000000001
1981-01-01,0.1072
1981-02-01,0.1187
1981-03-01,0.1406
1981-04-01,0.1562
1981-05-01,0.1668
1981-06-01,0.23
1981-07-01,0.2414
1981-08-01,0.1393
1981-09-01,0.1287
1981-10-01,0.1408
1981-11-01,0.1392
1981-12-01,0.1448
1982-01-01,0.1923
1982-02-01,0.1266
1982-03-01,0.1379
1982-04-01,0.1779
1982-05-01,0.2586
1982-06-01,0.2426
1982-07-01,0.3056
1982-08-01,0.2442
1982-09-01,0.2075
1982-10-01,0.2131
1982-11-01,0.2577
1982-12-01,0.2236
1983-01-01,0.3171
1983-02-01,0.392
1983-03-01,0.4934
1983-04-01,0.6518
1983-05-01,0.6448
1983-06-01,0.7279
1983-07-01,1.0752
1983-08-01,0.7195
1983-09-01,0.7371
1983-10-01,0.7142
1983-11-01,0.9716
1983-12-01,0.9788
1984-01-01,0.1205
1984-02-01,1.0092
1984-03-01,1.0384
1984-04-01,0.9408
1984-05-01,0.9967
1984-06-01,0.9285
1984-07-01,0.7188
1984-08-01,0.4622
1984-09-01,0.5101
1984-10-01,0.4934
1984-11-01,0.6159
1984-12-01,0.518
1985-01-01,0.6713
1985-02-01,0.5889
1985-03-01,0.7955
1985-04-01,1.0185
1985-05-01,0.7202
1985-06-01,0.6454
1985-07-01,0.884
1985-08-01,0.574
1985-09-01,0.5551
1985-10-01,0.5762
1985-11-01,0.6327
1985-12-01,0.5141
1986-01-01,0.6873
1986-02-01,0.6758
1986-03-01,0.872
1986-04-01,0.8704
1986-05-01,0.885
1986-06-01,0.9964
1986-07-01,1.0172
1986-08-01,0.9526
1986-09-01,0.8824
1986-10-01,0.8861
1986-11-01,0.9962
1986-12-01,1.0928
1987-01-01,0.6917
1987-02-01,1.0221
1987-03-01,1.3245
1987-04-01,1.0486
1987-05-01,1.1953
1987-06-01,1.2219
1987-07-01,1.176
1987-08-01,1.1071
1987-09-01,1.0751
1987-10-01,1.0949
1987-11-01,0.9968
1987-12-01,0.9684
1988-01-01,1.6568
1988-02-01,1.6591
1988-03-01,1.9582
1988-04-01,2.2441
1988-05-01,2.5795
1988-06-01,2.701
1988-07-01,2.161
1988-08-01,1.8885
1988-09-01,1.683
1988-10-01,1.3407
1988-11-01,1.5689
1988-12-01,1.8230000000000002
1989-01-01,1.9201
1989-02-01,2.1409
1989-03-01,2.3555
1989-04-01,2.6179
1989-05-01,2.8802
1989-06-01,3.2042
1989-07-01,3.1102
1989-08-01,2.4946
1989-09-01,1.861
1989-10-01,1.7437
1989-11-01,1.9883
1989-12-01,2.0032
1990-01-01,2.2347
1990-02-01,2.4844
1990-03-01,2.3851
1990-04-01,3.0331
1990-05-01,3.7781
1990-06-01,3.7661
1990-07-01,4.489
1990-08-01,3.984
1990-09-01,2.302
1990-10-01,2.1861
1990-11-01,2.5203
1990-12-01,2.9599
1991-01-01,3.0079
1991-02-01,3.1432
1991-03-01,3.1835
1991-04-01,3.4923
1991-05-01,3.7553
1991-06-01,4.3023
1991-07-01,3.3372
1991-08-01,2.6982
1991-09-01,2.1079
1991-10-01,2.0647
1991-11-01,2.1632
1991-12-01,2.1074
1992-01-01,2.3458
1992-02-01,2.4107
1992-03-01,2.5869
1992-04-01,3.1808
1992-05-01,3.5234
1992-06-01,3.9924
1992-07-01,4.2369
1992-08-01,2.8831
1992-09-01,2.1722
1992-10-01,2.1756
1992-11-01,2.4695
1992-12-01,2.907
1993-01-01,3.1387
1993-02-01,3.5129
1993-03-01,3.8287
1993-04-01,4.5055
1993-05-01,5.0629
1993-06-01,6.0577
1993-07-01,5.4566
1993-08-01,3.7417
1993-09-01,2.9652
1993-10-01,2.9871
1993-11-01,3.2805
1993-12-01,3.5805
1994-01-01,3.9947
1994-02-01,4.6182
1994-03-01,5.1978
1994-04-01,5.9057
1994-05-01,6.202999999999999
1994-06-01,7.1049
1994-07-01,6.3907
1994-08-01,5.8629999999999995
1994-09-01,4.623
1994-10-01,4.24
1994-11-01,4.8295
1994-12-01,5.0018
1995-01-01,6.2848
1995-02-01,6.7097
1995-03-01,7.122000000000001
1995-04-01,8.8462
1995-05-01,10.8973
1995-06-01,12.3594
1995-07-01,12.8746
1995-08-01,7.255
1995-09-01,5.7687
1995-10-01,6.0113
1995-11-01,6.8489
1995-12-01,7.6843
1996-01-01,8.5925
1996-02-01,9.1551
1996-03-01,9.2049
1996-04-01,10.0461
1996-05-01,11.7041
1996-06-01,13.3537
1996-07-01,12.3145
1996-08-01,8.7488
1996-09-01,7.152
1996-10-01,7.1711
1996-11-01,9.7803
1996-12-01,9.7611
1997-01-01,10.4233
1997-02-01,11.3571
1997-03-01,12.7028
1997-04-01,15.3994
1997-05-01,17.3003
1997-06-01,20.114
1997-07-01,16.6678
1997-08-01,15.7226
1997-09-01,12.5781
1997-10-01,12.5781
1997-11-01,15.0937
1997-12-01,10.5656
1998-01-01,13.5954
1998-02-01,18.1212
1998-03-01,15.8804
1998-04-01,16.8611
1998-05-01,20.8156
1998-06-01,42.0
1998-07-01,46.0
1998-08-01,38.62
1998-09-01,21.05
1998-10-01,17.0
1998-11-01,18.0
1998-12-01,19.5
1999-01-01,17.1662
1999-02-01,19.0487
1999-03-01,19.0244
1999-04-01,20.6363
