,DAY,MONTH,PRICE,Year,DATE
0,1,1,0.0032,1970,1970-01-01
48,1,2,0.0031,1970,1970-02-01
96,1,3,0.0035,1970,1970-03-01
144,1,4,0.0037,1970,1970-04-01
192,1,5,0.004,1970,1970-05-01
240,1,6,0.0039,1970,1970-06-01
288,1,7,0.0036,1970,1970-07-01
336,1,8,0.0037,1970,1970-08-01
384,1,9,0.0031,1970,1970-09-01
432,1,10,0.003,1970,1970-10-01
480,1,11,0.0033,1970,1970-11-01
528,1,12,0.0035,1970,1970-12-01
1,1,1,0.0037,1971,1971-01-01
49,1,2,0.0039,1971,1971-02-01
97,1,3,0.004,1971,1971-03-01
145,1,4,0.0034,1971,1971-04-01
193,1,5,0.0051,1971,1971-05-01
241,1,6,0.0054,1971,1971-06-01
289,1,7,0.0039,1971,1971-07-01
337,1,8,0.0034,1971,1971-08-01
385,1,9,0.003,1971,1971-09-01
433,1,10,0.003,1971,1971-10-01
481,1,11,0.0034,1971,1971-11-01
529,1,12,0.0042,1971,1971-12-01
2,1,1,0.0038,1972,1972-01-01
50,1,2,0.0044,1972,1972-02-01
98,1,3,0.0045,1972,1972-03-01
146,1,4,0.0051,1972,1972-04-01
194,1,5,0.0061,1972,1972-05-01
242,1,6,0.0065,1972,1972-06-01
290,1,7,0.0041,1972,1972-07-01
338,1,8,0.0035,1972,1972-08-01
386,1,9,0.0031,1972,1972-09-01
434,1,10,0.0035,1972,1972-10-01
482,1,11,0.0041,1972,1972-11-01
530,1,12,0.0044,1972,1972-12-01
3,1,1,0.0045,1973,1973-01-01
51,1,2,0.0053,1973,1973-02-01
99,1,3,0.0057,1973,1973-03-01
147,1,4,0.006,1973,1973-04-01
195,1,5,0.0067,1973,1973-05-01
243,1,6,0.0067,1973,1973-06-01
291,1,7,0.0055,1973,1973-07-01
339,1,8,0.0047,1973,1973-08-01
387,1,9,0.0043,1973,1973-09-01
435,1,10,0.0042,1973,1973-10-01
483,1,11,0.0054,1973,1973-11-01
531,1,12,0.0063,1973,1973-12-01
4,1,1,0.0068,1974,1974-01-01
52,1,2,0.006999999999999999,1974,1974-02-01
100,1,3,0.0075,1974,1974-03-01
148,1,4,0.0077,1974,1974-04-01
196,1,5,0.0081,1974,1974-05-01
244,1,6,0.009000000000000001,1974,1974-06-01
292,1,7,0.006999999999999999,1974,1974-07-01
340,1,8,0.0057,1974,1974-08-01
388,1,9,0.0053,1974,1974-09-01
436,1,10,0.0056,1974,1974-10-01
484,1,11,0.0066,1974,1974-11-01
532,1,12,0.0073,1974,1974-12-01
5,1,1,0.0083,1975,1975-01-01
53,1,2,0.0088,1975,1975-02-01
101,1,3,0.009000000000000001,1975,1975-03-01
149,1,4,0.0089,1975,1975-04-01
197,1,5,0.0106,1975,1975-05-01
245,1,6,0.0099,1975,1975-06-01
293,1,7,0.0093,1975,1975-07-01
341,1,8,0.0071,1975,1975-08-01
389,1,9,0.0073,1975,1975-09-01
437,1,10,0.0157,1975,1975-10-01
485,1,11,0.0089,1975,1975-11-01
533,1,12,0.0105,1975,1975-12-01
6,1,1,0.0123,1976,1976-01-01
54,1,2,0.0106,1976,1976-02-01
102,1,3,0.0122,1976,1976-03-01
150,1,4,0.0138,1976,1976-04-01
198,1,5,0.0136,1976,1976-05-01
246,1,6,0.0164,1976,1976-06-01
294,1,7,0.0168,1976,1976-07-01
342,1,8,0.0144,1976,1976-08-01
390,1,9,0.0139,1976,1976-09-01
438,1,10,0.0116,1976,1976-10-01
486,1,11,0.0118,1976,1976-11-01
534,1,12,0.0182,1976,1976-12-01
7,1,1,0.028,1977,1977-01-01
55,1,2,0.02,1977,1977-02-01
103,1,3,0.0165,1977,1977-03-01
151,1,4,0.0295,1977,1977-04-01
199,1,5,0.0291,1977,1977-05-01
247,1,6,0.0443,1977,1977-06-01
295,1,7,0.044,1977,1977-07-01
343,1,8,0.0303,1977,1977-08-01
391,1,9,0.0245,1977,1977-09-01
439,1,10,0.0238,1977,1977-10-01
487,1,11,0.0311,1977,1977-11-01
535,1,12,0.0282,1977,1977-12-01
8,1,1,0.0388,1978,1978-01-01
56,1,2,0.0416,1978,1978-02-01
104,1,3,0.0414,1978,1978-03-01
152,1,4,0.0502,1978,1978-04-01
200,1,5,0.059,1978,1978-05-01
248,1,6,0.0688,1978,1978-06-01
296,1,7,0.0565,1978,1978-07-01
344,1,8,0.0418,1978,1978-08-01
392,1,9,0.0351,1978,1978-09-01
440,1,10,0.0348,1978,1978-10-01
488,1,11,0.046,1978,1978-11-01
536,1,12,0.0518,1978,1978-12-01
9,1,1,0.032,1979,1979-01-01
57,1,2,0.0541,1979,1979-02-01
105,1,3,0.0727,1979,1979-03-01
153,1,4,0.0653,1979,1979-04-01
201,1,5,0.083,1979,1979-05-01
249,1,6,0.0773,1979,1979-06-01
297,1,7,0.0576,1979,1979-07-01
345,1,8,0.0481,1979,1979-08-01
393,1,9,0.0407,1979,1979-09-01
441,1,10,0.0516,1979,1979-10-01
489,1,11,0.0559,1979,1979-11-01
537,1,12,0.0636,1979,1979-12-01
10,1,1,0.0693,1980,1980-01-01
58,1,2,0.0689,1980,1980-02-01
106,1,3,0.078,1980,1980-03-01
154,1,4,0.0894,1980,1980-04-01
202,1,5,0.0875,1980,1980-05-01
250,1,6,0.1145,1980,1980-06-01
298,1,7,0.1035,1980,1980-07-01
346,1,8,0.1155,1980,1980-08-01
394,1,9,0.1139,1980,1980-09-01
442,1,10,0.099,1980,1980-10-01
490,1,11,0.1011,1980,1980-11-01
538,1,12,0.108,1980,1980-12-01
11,1,1,0.1072,1981,1981-01-01
59,1,2,0.1187,1981,1981-02-01
107,1,3,0.1406,1981,1981-03-01
155,1,4,0.1562,1981,1981-04-01
203,1,5,0.1668,1981,1981-05-01
251,1,6,0.23,1981,1981-06-01
299,1,7,0.2414,1981,1981-07-01
347,1,8,0.1393,1981,1981-08-01
395,1,9,0.1287,1981,1981-09-01
443,1,10,0.1408,1981,1981-10-01
491,1,11,0.1392,1981,1981-11-01
539,1,12,0.1448,1981,1981-12-01
12,1,1,0.1923,1982,1982-01-01
60,1,2,0.1266,1982,1982-02-01
108,1,3,0.1379,1982,1982-03-01
156,1,4,0.1779,1982,1982-04-01
204,1,5,0.2586,1982,1982-05-01
252,1,6,0.2426,1982,1982-06-01
300,1,7,0.3056,1982,1982-07-01
348,1,8,0.2442,1982,1982-08-01
396,1,9,0.2075,1982,1982-09-01
444,1,10,0.2131,1982,1982-10-01
492,1,11,0.2577,1982,1982-11-01
540,1,12,0.2236,1982,1982-12-01
13,1,1,0.3171,1983,1983-01-01
61,1,2,0.392,1983,1983-02-01
109,1,3,0.4934,1983,1983-03-01
157,1,4,0.6518,1983,1983-04-01
205,1,5,0.6448,1983,1983-05-01
253,1,6,0.7279,1983,1983-06-01
301,1,7,1.0752,1983,1983-07-01
349,1,8,0.7195,1983,1983-08-01
397,1,9,0.7371,1983,1983-09-01
445,1,10,0.7142,1983,1983-10-01
493,1,11,0.9716,1983,1983-11-01
541,1,12,0.9788,1983,1983-12-01
14,1,1,0.1205,1984,1984-01-01
62,1,2,1.0092,1984,1984-02-01
110,1,3,1.0384,1984,1984-03-01
158,1,4,0.9408,1984,1984-04-01
206,1,5,0.9967,1984,1984-05-01
254,1,6,0.9285,1984,1984-06-01
302,1,7,0.7188,1984,1984-07-01
350,1,8,0.4622,1984,1984-08-01
398,1,9,0.5101,1984,1984-09-01
446,1,10,0.4934,1984,1984-10-01
494,1,11,0.6159,1984,1984-11-01
542,1,12,0.518,1984,1984-12-01
15,1,1,0.6713,1985,1985-01-01
63,1,2,0.5889,1985,1985-02-01
111,1,3,0.7955,1985,1985-03-01
159,1,4,1.0185,1985,1985-04-01
207,1,5,0.7202,1985,1985-05-01
255,1,6,0.6454,1985,1985-06-01
303,1,7,0.884,1985,1985-07-01
351,1,8,0.574,1985,1985-08-01
399,1,9,0.5551,1985,1985-09-01
447,1,10,0.5762,1985,1985-10-01
495,1,11,0.6327,1985,1985-11-01
543,1,12,0.5141,1985,1985-12-01
16,1,1,0.6873,1986,1986-01-01
64,1,2,0.6758,1986,1986-02-01
112,1,3,0.872,1986,1986-03-01
160,1,4,0.8704,1986,1986-04-01
208,1,5,0.885,1986,1986-05-01
256,1,6,0.9964,1986,1986-06-01
304,1,7,1.0172,1986,1986-07-01
352,1,8,0.9526,1986,1986-08-01
400,1,9,0.8824,1986,1986-09-01
448,1,10,0.8861,1986,1986-10-01
496,1,11,0.9962,1986,1986-11-01
544,1,12,1.0928,1986,1986-12-01
17,1,1,0.6917,1987,1987-01-01
65,1,2,1.0221,1987,1987-02-01
113,1,3,1.3245,1987,1987-03-01
161,1,4,1.0486,1987,1987-04-01
209,1,5,1.1953,1987,1987-05-01
257,1,6,1.2219,1987,1987-06-01
305,1,7,1.176,1987,1987-07-01
353,1,8,1.1071,1987,1987-08-01
401,1,9,1.0751,1987,1987-09-01
449,1,10,1.0949,1987,1987-10-01
497,1,11,0.9968,1987,1987-11-01
545,1,12,0.9684,1987,1987-12-01
18,1,1,1.6568,1988,1988-01-01
66,1,2,1.6591,1988,1988-02-01
114,1,3,1.9582,1988,1988-03-01
162,1,4,2.2441,1988,1988-04-01
210,1,5,2.5795,1988,1988-05-01
258,1,6,2.701,1988,1988-06-01
306,1,7,2.161,1988,1988-07-01
354,1,8,1.8885,1988,1988-08-01
402,1,9,1.683,1988,1988-09-01
450,1,10,1.3407,1988,1988-10-01
498,1,11,1.5689,1988,1988-11-01
546,1,12,1.823,1988,1988-12-01
19,1,1,1.9201,1989,1989-01-01
67,1,2,2.1409,1989,1989-02-01
115,1,3,2.3555,1989,1989-03-01
163,1,4,2.6179,1989,1989-04-01
211,1,5,2.8802,1989,1989-05-01
259,1,6,3.2042,1989,1989-06-01
307,1,7,3.1102,1989,1989-07-01
355,1,8,2.4946,1989,1989-08-01
403,1,9,1.861,1989,1989-09-01
451,1,10,1.7437,1989,1989-10-01
499,1,11,1.9883,1989,1989-11-01
547,1,12,2.0032,1989,1989-12-01
20,1,1,2.2347,1990,1990-01-01
68,1,2,2.4844,1990,1990-02-01
116,1,3,2.3851,1990,1990-03-01
164,1,4,3.0331,1990,1990-04-01
212,1,5,3.7781,1990,1990-05-01
260,1,6,3.7661,1990,1990-06-01
308,1,7,4.489,1990,1990-07-01
356,1,8,3.984,1990,1990-08-01
404,1,9,2.302,1990,1990-09-01
452,1,10,2.1861,1990,1990-10-01
500,1,11,2.5203,1990,1990-11-01
548,1,12,2.9599,1990,1990-12-01
21,1,1,3.0079,1991,1991-01-01
69,1,2,3.1432,1991,1991-02-01
117,1,3,3.1835,1991,1991-03-01
165,1,4,3.4923,1991,1991-04-01
213,1,5,3.7553,1991,1991-05-01
261,1,6,4.3023,1991,1991-06-01
309,1,7,3.3372,1991,1991-07-01
357,1,8,2.6982,1991,1991-08-01
405,1,9,2.1079,1991,1991-09-01
453,1,10,2.0647,1991,1991-10-01
501,1,11,2.1632,1991,1991-11-01
549,1,12,2.1074,1991,1991-12-01
22,1,1,2.3458,1992,1992-01-01
70,1,2,2.4107,1992,1992-02-01
118,1,3,2.5869,1992,1992-03-01
166,1,4,3.1808,1992,1992-04-01
214,1,5,3.5234,1992,1992-05-01
262,1,6,3.9924,1992,1992-06-01
310,1,7,4.2369,1992,1992-07-01
358,1,8,2.8831,1992,1992-08-01
406,1,9,2.1722,1992,1992-09-01
454,1,10,2.1756,1992,1992-10-01
502,1,11,2.4695,1992,1992-11-01
550,1,12,2.907,1992,1992-12-01
23,1,1,3.1387,1993,1993-01-01
71,1,2,3.5129,1993,1993-02-01
119,1,3,3.8287,1993,1993-03-01
167,1,4,4.5055,1993,1993-04-01
215,1,5,5.0629,1993,1993-05-01
263,1,6,6.0577,1993,1993-06-01
311,1,7,5.4566,1993,1993-07-01
359,1,8,3.7417,1993,1993-08-01
407,1,9,2.9652,1993,1993-09-01
455,1,10,2.9871,1993,1993-10-01
503,1,11,3.2805,1993,1993-11-01
551,1,12,3.5805,1993,1993-12-01
24,1,1,3.9947,1994,1994-01-01
72,1,2,4.6182,1994,1994-02-01
120,1,3,5.1978,1994,1994-03-01
168,1,4,5.9057,1994,1994-04-01
216,1,5,6.2029999999999985,1994,1994-05-01
264,1,6,7.1049,1994,1994-06-01
312,1,7,6.3907,1994,1994-07-01
360,1,8,5.863,1994,1994-08-01
408,1,9,4.623,1994,1994-09-01
456,1,10,4.24,1994,1994-10-01
504,1,11,4.8295,1994,1994-11-01
552,1,12,5.0018,1994,1994-12-01
25,1,1,6.2848,1995,1995-01-01
73,1,2,6.7097,1995,1995-02-01
121,1,3,7.122000000000001,1995,1995-03-01
169,1,4,8.8462,1995,1995-04-01
217,1,5,10.8973,1995,1995-05-01
265,1,6,12.3594,1995,1995-06-01
313,1,7,12.8746,1995,1995-07-01
361,1,8,7.255,1995,1995-08-01
409,1,9,5.7687,1995,1995-09-01
457,1,10,6.0113,1995,1995-10-01
505,1,11,6.8489,1995,1995-11-01
553,1,12,7.6843,1995,1995-12-01
26,1,1,8.5925,1996,1996-01-01
74,1,2,9.1551,1996,1996-02-01
122,1,3,9.2049,1996,1996-03-01
170,1,4,10.0461,1996,1996-04-01
218,1,5,11.7041,1996,1996-05-01
266,1,6,13.3537,1996,1996-06-01
314,1,7,12.3145,1996,1996-07-01
362,1,8,8.7488,1996,1996-08-01
410,1,9,7.152,1996,1996-09-01
458,1,10,7.1711,1996,1996-10-01
506,1,11,9.7803,1996,1996-11-01
554,1,12,9.7611,1996,1996-12-01
27,1,1,10.4233,1997,1997-01-01
75,1,2,11.3571,1997,1997-02-01
123,1,3,12.7028,1997,1997-03-01
